Date,Hour,S1,S2,S3,S4,S5,S6,S7,S8,Total,eS1,eS2,eS3,eS4,eS5,eS6,eS7,eS8,eTotal
2024-07-17,1,18755.0,5069.0,8301.0,0,5280.0,0,14178.0,17950.0,69533.0,18756.8755,5069.5069,8301.8301,0.0,5280.528,0.0,14179.4178,17951.795,69539.9533
2024-07-17,2,17853.0,4890.0,7564.0,0,4932.0,0,13474.0,17127.0,65840.0,17854.7853,4890.489,7564.7564,0.0,4932.4932,0.0,13475.3474,17128.7127,65846.58399999999
2024-07-17,3,17453.0,4691.0,7510.0,0,4826.0,0,13099.0,16545.0,64124.0,17454.7453,4691.4691,7510.751,0.0,4826.4826,0.0,13100.3099,16546.6545,64130.4124
2024-07-17,4,15839.0,4517.0,7241.0,0,4770.0,0,12711.0,16284.0,61362.0,15840.5839,4517.4517,7241.7241,0.0,4770.477,0.0,12712.2711,16285.6284,61368.1362
2024-07-17,5,16956.0,4638.0,7270.0,0,4796.0,0,12943.0,16497.0,63100.0,16957.6956,4638.4637999999995,7270.727,0.0,4796.4796,0.0,12944.2943,16498.649699999998,63106.31
2024-07-17,6,17723.0,4779.0,7758.0,0,5152.0,0,13187.0,17333.0,65932.0,17724.7723,4779.4779,7758.7758,0.0,5152.5152,0.0,13188.3187,17334.7333,65938.5932
2024-07-17,7,18153.0,4734.0,7994.0,0,6295.0,0,13325.0,0.0,0.0,18154.8153,4734.4734,7994.7994,0.0,6295.6295,0.0,13326.3325,0.0,50506.05009999999
2024-07-17,8,20307.0,4746.0,9841.0,0,8979.0,0,15145.0,0.0,0.0,20309.0307,4746.4746,9841.9841,0.0,8979.8979,0.0,15146.5145,0.0,59023.9018
2024-07-17,9,25322.0,5465.0,11595.0,0,12018.0,0,16915.0,0.0,0.0,25324.5322,5465.5465,11596.1595,0.0,12019.2018,0.0,16916.6915,0.0,71322.1315
2024-07-17,10,26943.0,5538.0,16322.0,0,13832.0,0,17430.0,0.0,0.0,26945.6943,5538.5538,16323.6322,0.0,13833.3832,0.0,17431.743,0.0,80073.0065
2024-07-17,11,28934.0,5705.0,17166.0,0,14410.0,0,18036.0,0.0,0.0,28936.8934,5705.5705,17167.7166,0.0,14411.441,0.0,18037.8036,0.0,84259.42510000001
2024-07-17,12,28686.0,5717.0,17079.0,0,14265.0,0,18013.0,0.0,0.0,28688.868599999998,5717.5716999999995,17080.7079,0.0,14266.4265,0.0,18014.8013,0.0,83768.37599999999
2024-07-17,13,27833.0,5305.0,16938.0,0,14017.0,0,17276.0,0.0,0.0,27835.7833,5305.5305,16939.6938,0.0,14018.4017,0.0,17277.7276,0.0,81377.1369
