Date,Hour,S1,S2,S3,S4,S5,S6,S7,Total,eS1,eS2,eS3,eS4,eS5,eS6,eS7,eTotal
2024-09-17,1,16685.0,4428.0,7889.0,0,4943.0,0,16720.0,50665.0,16686.6685,4428.4428,7889.7889,0.0,4943.4943,0.0,16721.672,50670.0665
2024-09-17,2,16180.0,4231.0,7575.0,0,4791.0,0,16065.0,48842.0,16181.618,4231.4231,7575.7575,0.0,4791.4791,0.0,16066.6065,48846.8842
2024-09-17,3,15828.0,4024.0,7486.0,0,4662.0,0,15442.0,47442.0,15829.5828,4024.4024,7486.7486,0.0,4662.4662,0.0,15443.5442,47446.7442
2024-09-17,4,15667.0,3979.0,7412.0,0,4599.0,0,15517.0,47174.0,15668.5667,3979.3979,7412.7411999999995,0.0,4599.4599,0.0,15518.5517,47178.717399999994
2024-09-17,5,15741.0,4049.0,7510.0,0,4755.0,0,15959.0,48014.0,15742.5741,4049.4049,7510.751,0.0,4755.4755,0.0,15960.5959,48018.8014
2024-09-17,6,16878.0,4508.0,7913.0,0,5030.0,0,16920.0,51249.0,16879.6878,4508.4508,7913.7913,0.0,5030.503,0.0,16921.692,51254.124899999995
2024-09-17,7,17432.0,4291.0,8206.0,0,6243.0,0,17082.0,53254.0,17433.7432,4291.4291,8206.8206,0.0,6243.6242999999995,0.0,17083.7082,53259.3254
2024-09-17,8,18993.0,4369.0,9080.0,0,8872.0,0,17785.0,59099.0,18994.8993,4369.4369,9080.908,0.0,8872.8872,0.0,17786.7785,59104.9099
2024-09-17,9,23159.0,4806.0,11120.0,0,12410.0,0,19463.0,70958.0,23161.3159,4806.4806,11121.112,0.0,12411.241,0.0,19464.9463,70965.0958
2024-09-17,10,24738.0,5057.0,15402.0,0,13134.0,0,20659.0,78990.0,24740.4738,5057.5057,15403.5402,0.0,13135.3134,0.0,20661.0659,78997.899
2024-09-17,11,25523.0,5145.0,16206.0,0,13741.0,0,22164.0,82779.0,25525.5523,5145.5145,16207.6206,0.0,13742.374099999999,0.0,22166.2164,82787.2779
2024-09-17,12,26018.0,5157.0,16234.0,0,13232.0,0,21224.0,81865.0,26020.6018,5157.5157,16235.6234,0.0,13233.3232,0.0,21226.1224,81873.18650000001
2024-09-17,13,0.0,4566.0,15485.0,0,0.0,0,0.0,20051.0,0.0,4566.4565999999995,15486.548499999999,0.0,0.0,0.0,0.0,20053.0051
